periodname,organisationunitname,105-EP01c. Malaria Confirmed (B/s and RDT Positive),outlier
2023-03-01,Acet Health Centre III,402.0,False
2023-04-01,Acet Health Centre III,537.0,False
2023-05-01,Acet Health Centre III,600.0,False
2023-06-01,Acet Health Centre III,784.0,False
2023-07-01,Acet Health Centre III,941.0,False
2023-08-01,Acet Health Centre III,973.0,True
2023-09-01,Acet Health Centre III,307.0,True
2023-10-01,Acet Health Centre III,506.0,False
2023-11-01,Acet Health Centre III,893.0,False
2023-12-01,Acet Health Centre III,497.0,False
2024-01-01,Acet Health Centre III,378.0,False
2024-02-01,Acet Health Centre III,619.8181818181819,False
2023-03-01,Acholi-Bur Health Centre III,355.0,False
2023-04-01,Acholi-Bur Health Centre III,457.0,False
2023-05-01,Acholi-Bur Health Centre III,838.0,False
2023-06-01,Acholi-Bur Health Centre III,664.0,False
2023-07-01,Acholi-Bur Health Centre III,776.0,False
2023-08-01,Acholi-Bur Health Centre III,1255.0,True
2023-09-01,Acholi-Bur Health Centre III,997.0,False
2023-10-01,Acholi-Bur Health Centre III,754.0,False
2023-11-01,Acholi-Bur Health Centre III,956.0,False
2023-12-01,Acholi-Bur Health Centre III,640.0,False
2024-01-01,Acholi-Bur Health Centre III,454.0,False
2024-02-01,Acholi-Bur Health Centre III,125.0,True
2023-03-01,Acholpii Health Centre III,449.0,False
2023-04-01,Acholpii Health Centre III,527.0,False
2023-05-01,Acholpii Health Centre III,731.0,False
2023-06-01,Acholpii Health Centre III,989.0,False
2023-07-01,Acholpii Health Centre III,609.0,False
2023-08-01,Acholpii Health Centre III,1092.0,False
2023-09-01,Acholpii Health Centre III,494.0,False
2023-10-01,Acholpii Health Centre III,1296.0,True
2023-11-01,Acholpii Health Centre III,575.0,False
2023-12-01,Acholpii Health Centre III,429.0,False
2024-01-01,Acholpii Health Centre III,336.0,True
2024-02-01,Acholpii Health Centre III,684.2727272727273,False
2023-03-01,Acuru Health Centre II,265.0,False
2023-04-01,Acuru Health Centre II,203.0,False
2023-05-01,Acuru Health Centre II,540.0,False
2023-06-01,Acuru Health Centre II,715.0,False
2023-07-01,Acuru Health Centre II,744.0,False
2023-08-01,Acuru Health Centre II,870.0,True
2023-09-01,Acuru Health Centre II,459.0,False
2023-10-01,Acuru Health Centre II,183.0,False
2023-11-01,Acuru Health Centre II,641.0,False
2023-12-01,Acuru Health Centre II,130.0,False
2024-01-01,Acuru Health Centre II,86.0,True
2024-02-01,Acuru Health Centre II,439.6363636363636,False
2023-03-01,Adilang Health Centre III,299.0,False
2023-04-01,Adilang Health Centre III,207.0,False
2023-05-01,Adilang Health Centre III,751.0,False
2023-06-01,Adilang Health Centre III,1180.0,False
2023-07-01,Adilang Health Centre III,1464.0,True
2023-08-01,Adilang Health Centre III,1251.0,False
2023-09-01,Adilang Health Centre III,1340.0,False
2023-10-01,Adilang Health Centre III,813.0,False
2023-11-01,Adilang Health Centre III,1002.0,False
2023-12-01,Adilang Health Centre III,430.0,False
2024-01-01,Adilang Health Centre III,181.0,True
2024-02-01,Adilang Health Centre III,810.7272727272727,False
2023-03-01,Agonga Karine Community Health Centre II,66.0,True
2023-04-01,Agonga Karine Community Health Centre II,86.0,False
2023-05-01,Agonga Karine Community Health Centre II,140.0,True
2023-06-01,Agonga Karine Community Health Centre II,94.0,False
2023-07-01,Agonga Karine Community Health Centre II,108.0,False
2023-08-01,Agonga Karine Community Health Centre II,70.0,False
2023-09-01,Agonga Karine Community Health Centre II,79.0,False
2023-10-01,Agonga Karine Community Health Centre II,98.0,False
2023-11-01,Agonga Karine Community Health Centre II,98.0,False
2023-12-01,Agonga Karine Community Health Centre II,120.0,False
2024-01-01,Agonga Karine Community Health Centre II,90.0,False
2024-02-01,Agonga Karine Community Health Centre II,95.36363636363636,False
2023-03-01,Agoro Health Centre III,377.0,True
2023-04-01,Agoro Health Centre III,379.0,False
2023-05-01,Agoro Health Centre III,936.0,False
2023-06-01,Agoro Health Centre III,1673.0,True
2023-07-01,Agoro Health Centre III,1341.0,False
2023-08-01,Agoro Health Centre III,1430.0,False
2023-09-01,Agoro Health Centre III,837.0,False
2023-10-01,Agoro Health Centre III,1406.0,False
2023-11-01,Agoro Health Centre III,1133.0,False
2023-12-01,Agoro Health Centre III,728.0,False
2024-01-01,Agoro Health Centre III,851.0,False
2024-02-01,Agoro Health Centre III,1008.2727272727273,False
2023-03-01,Akilok Health Centre II,85.0,False
2023-04-01,Akilok Health Centre II,62.0,True
2023-05-01,Akilok Health Centre II,278.0,False
2023-06-01,Akilok Health Centre II,660.0,True
2023-07-01,Akilok Health Centre II,345.0,False
2023-08-01,Akilok Health Centre II,562.0,False
2023-09-01,Akilok Health Centre II,516.0,False
2023-10-01,Akilok Health Centre II,384.0,False
2023-11-01,Akilok Health Centre II,233.0,False
2023-12-01,Akilok Health Centre II,258.0,False
2024-01-01,Akilok Health Centre II,466.0,False
2024-02-01,Akilok Health Centre II,349.90909090909093,False
2023-03-01,Akuna Laber Health Centre III,431.0,False
2023-04-01,Akuna Laber Health Centre III,295.0,False
2023-05-01,Akuna Laber Health Centre III,602.0,False
2023-06-01,Akuna Laber Health Centre III,1044.0,False
2023-07-01,Akuna Laber Health Centre III,1123.0,False
2023-08-01,Akuna Laber Health Centre III,1353.0,False
2023-09-01,Akuna Laber Health Centre III,1509.0,True
2023-10-01,Akuna Laber Health Centre III,970.0,False
2023-11-01,Akuna Laber Health Centre III,688.0,False
2023-12-01,Akuna Laber Health Centre III,565.0,False
2024-01-01,Akuna Laber Health Centre III,583.0,False
2024-02-01,Akuna Laber Health Centre III,238.0,True
2023-03-01,Akurumor Health Centre II,79.0,False
2023-04-01,Akurumor Health Centre II,29.0,False
2023-05-01,Akurumor Health Centre II,36.0,False
2023-06-01,Akurumor Health Centre II,273.0,True
2023-07-01,Akurumor Health Centre II,126.0,False
2023-08-01,Akurumor Health Centre II,107.0,False
2023-09-01,Akurumor Health Centre II,100.0,False
2023-10-01,Akurumor Health Centre II,236.0,False
2023-11-01,Akurumor Health Centre II,59.0,False
2023-12-01,Akurumor Health Centre II,61.0,False
2024-01-01,Akurumor Health Centre II,32.0,False
2024-02-01,Akurumor Health Centre II,16.0,True
2023-03-01,Akworo Health Centre III,1715.0,False
2023-04-01,Akworo Health Centre III,2701.0,False
2023-05-01,Akworo Health Centre III,4347.0,True
2023-06-01,Akworo Health Centre III,3298.0,False
2023-07-01,Akworo Health Centre III,1588.0,False
2023-08-01,Akworo Health Centre III,1078.0,False
2023-09-01,Akworo Health Centre III,1127.0,False
2023-10-01,Akworo Health Centre III,612.0,True
2023-11-01,Akworo Health Centre III,935.0,False
2023-12-01,Akworo Health Centre III,786.0,False
2024-01-01,Akworo Health Centre III,1105.0,False
2024-02-01,Akworo Health Centre III,1753.8181818181818,False
2023-03-01,Alero Health Centre III,300.0,False
2023-04-01,Alero Health Centre III,517.0,False
2023-05-01,Alero Health Centre III,670.0,False
2023-06-01,Alero Health Centre III,1240.0,True
2023-07-01,Alero Health Centre III,809.0,False
2023-08-01,Alero Health Centre III,772.0,False
2023-09-01,Alero Health Centre III,336.0,False
2023-10-01,Alero Health Centre III,1053.0,False
2023-11-01,Alero Health Centre III,1214.0,False
2023-12-01,Alero Health Centre III,1137.0,False
2024-01-01,Alero Health Centre III,222.0,True
2024-02-01,Alero Health Centre III,751.8181818181819,False
2023-03-01,Alim Health Centre II,323.0,False
2023-04-01,Alim Health Centre II,264.0,False
2023-05-01,Alim Health Centre II,553.0,False
2023-06-01,Alim Health Centre II,529.0,False
2023-07-01,Alim Health Centre II,691.0,True
2023-08-01,Alim Health Centre II,538.0,False
2023-09-01,Alim Health Centre II,209.0,True
2023-10-01,Alim Health Centre II,227.0,False
2023-11-01,Alim Health Centre II,507.0,False
2023-12-01,Alim Health Centre II,304.0,False
2024-01-01,Alim Health Centre II,297.0,False
2024-02-01,Alim Health Centre II,403.8181818181818,False
2023-03-01,Alokolum Health Centre II,166.0,True
2023-04-01,Alokolum Health Centre II,212.0,False
2023-05-01,Alokolum Health Centre II,388.0,False
2023-06-01,Alokolum Health Centre II,315.0,False
2023-07-01,Alokolum Health Centre II,484.0,False
2023-08-01,Alokolum Health Centre II,455.0,False
2023-09-01,Alokolum Health Centre II,301.0,False
2023-10-01,Alokolum Health Centre II,546.0,True
2023-11-01,Alokolum Health Centre II,514.0,False
2023-12-01,Alokolum Health Centre II,388.0,False
2024-01-01,Alokolum Health Centre II,347.0,False
2024-02-01,Alokolum Health Centre II,374.1818181818182,False
2023-03-01,Alop Health Centre II,207.0,False
2023-04-01,Alop Health Centre II,156.0,True
2023-05-01,Alop Health Centre II,509.0,False
2023-06-01,Alop Health Centre II,471.0,False
2023-07-01,Alop Health Centre II,543.0,False
2023-08-01,Alop Health Centre II,727.0,False
2023-09-01,Alop Health Centre II,742.0,True
2023-10-01,Alop Health Centre II,548.0,False
2023-11-01,Alop Health Centre II,361.0,False
2023-12-01,Alop Health Centre II,442.0,False
2024-01-01,Alop Health Centre II,317.0,False
2024-02-01,Alop Health Centre II,456.6363636363636,False
2023-03-01,Amilobo Health Centre II,261.0,False
2023-04-01,Amilobo Health Centre II,259.0,False
2023-05-01,Amilobo Health Centre II,375.0,False
2023-06-01,Amilobo Health Centre II,393.0,False
2023-07-01,Amilobo Health Centre II,452.0,False
2023-08-01,Amilobo Health Centre II,444.0,False
2023-09-01,Amilobo Health Centre II,325.0,False
2023-10-01,Amilobo Health Centre II,571.0,True
2023-11-01,Amilobo Health Centre II,252.0,False
2023-12-01,Amilobo Health Centre II,216.0,True
2024-01-01,Amilobo Health Centre II,218.0,False
2024-02-01,Amilobo Health Centre II,342.3636363636364,False
2023-03-01,Amuru Health Centre II,72.0,False
2023-04-01,Amuru Health Centre II,300.0,False
2023-05-01,Amuru Health Centre II,67.0,False
2023-06-01,Amuru Health Centre II,524.0,False
2023-07-01,Amuru Health Centre II,505.0,False
2023-08-01,Amuru Health Centre II,65.0,False
2023-09-01,Amuru Health Centre II,54.0,True
2023-10-01,Amuru Health Centre II,292.0,False
2023-11-01,Amuru Health Centre II,263.0,False
2023-12-01,Amuru Health Centre II,557.0,True
2024-01-01,Amuru Health Centre II,94.0,False
2024-02-01,Amuru Health Centre II,253.9090909090909,False
2023-03-01,Amuru Lacor Health Centre III,205.0,True
2023-04-01,Amuru Lacor Health Centre III,311.0,False
2023-05-01,Amuru Lacor Health Centre III,436.0,False
2023-06-01,Amuru Lacor Health Centre III,441.0,False
2023-07-01,Amuru Lacor Health Centre III,407.0,False
2023-08-01,Amuru Lacor Health Centre III,501.0,False
2023-09-01,Amuru Lacor Health Centre III,483.0,False
2023-10-01,Amuru Lacor Health Centre III,511.0,False
2023-11-01,Amuru Lacor Health Centre III,522.0,False
2023-12-01,Amuru Lacor Health Centre III,574.0,True
2024-01-01,Amuru Lacor Health Centre III,520.0,False
2024-02-01,Amuru Lacor Health Centre III,446.45454545454544,False
2023-03-01,Amuru Prisons Health Centre II,39.57142857142857,False
2023-04-01,Amuru Prisons Health Centre II,39.57142857142857,False
2023-05-01,Amuru Prisons Health Centre II,11.0,False
2023-06-01,Amuru Prisons Health Centre II,39.57142857142857,False
2023-07-01,Amuru Prisons Health Centre II,17.0,False
2023-08-01,Amuru Prisons Health Centre II,39.57142857142857,False
2023-09-01,Amuru Prisons Health Centre II,7.0,True
2023-10-01,Amuru Prisons Health Centre II,122.0,True
2023-11-01,Amuru Prisons Health Centre II,20.0,False
2023-12-01,Amuru Prisons Health Centre II,18.0,False
2024-01-01,Amuru Prisons Health Centre II,82.0,False
2024-02-01,Amuru Prisons Health Centre II,39.57142857142857,False
2023-03-01,Amyel Health Centre II,194.0,False
2023-04-01,Amyel Health Centre II,101.0,False
2023-05-01,Amyel Health Centre II,311.0,False
2023-06-01,Amyel Health Centre II,646.0,False
2023-07-01,Amyel Health Centre II,695.0,False
2023-08-01,Amyel Health Centre II,882.0,True
2023-09-01,Amyel Health Centre II,630.0,False
2023-10-01,Amyel Health Centre II,613.0,False
2023-11-01,Amyel Health Centre II,640.0,False
2023-12-01,Amyel Health Centre II,368.0,False
2024-01-01,Amyel Health Centre II,86.0,True
2024-02-01,Amyel Health Centre II,469.6363636363636,False
2023-03-01,Anaka General Hospital,390.0,True
2023-04-01,Anaka General Hospital,572.0,False
2023-05-01,Anaka General Hospital,835.0,False
2023-06-01,Anaka General Hospital,1143.0,False
2023-07-01,Anaka General Hospital,1150.0,True
2023-08-01,Anaka General Hospital,656.0,False
2023-09-01,Anaka General Hospital,520.0,False
2023-10-01,Anaka General Hospital,837.0,False
2023-11-01,Anaka General Hospital,892.0,False
2023-12-01,Anaka General Hospital,680.0,False
2024-01-01,Anaka General Hospital,711.0,False
2024-02-01,Anaka General Hospital,762.3636363636364,False
2023-03-01,Anaka Health Centre II,115.0,False
2023-04-01,Anaka Health Centre II,139.0,False
2023-05-01,Anaka Health Centre II,538.0,True
2023-06-01,Anaka Health Centre II,515.0,False
2023-07-01,Anaka Health Centre II,353.0,False
2023-08-01,Anaka Health Centre II,148.0,False
2023-09-01,Anaka Health Centre II,84.0,True
2023-10-01,Anaka Health Centre II,164.0,False
2023-11-01,Anaka Health Centre II,228.0,False
2023-12-01,Anaka Health Centre II,204.0,False
2024-01-01,Anaka Health Centre II,233.0,False
2024-02-01,Anaka Health Centre II,247.36363636363637,False
2023-03-01,Angagura Health Centre III,381.0,False
2023-04-01,Angagura Health Centre III,317.0,False
2023-05-01,Angagura Health Centre III,700.0,False
2023-06-01,Angagura Health Centre III,678.0,False
2023-07-01,Angagura Health Centre III,654.0,False
2023-08-01,Angagura Health Centre III,634.0,False
2023-09-01,Angagura Health Centre III,454.0,False
2023-10-01,Angagura Health Centre III,294.0,False
2023-11-01,Angagura Health Centre III,732.0,True
2023-12-01,Angagura Health Centre III,457.0,False
2024-01-01,Angagura Health Centre III,205.0,False
2024-02-01,Angagura Health Centre III,93.0,True
2023-03-01,Angaya Health Centre III,399.0,False
2023-04-01,Angaya Health Centre III,480.0,False
2023-05-01,Angaya Health Centre III,550.0,False
2023-06-01,Angaya Health Centre III,826.0,True
2023-07-01,Angaya Health Centre III,807.0,False
2023-08-01,Angaya Health Centre III,636.0,False
2023-09-01,Angaya Health Centre III,318.0,False
2023-10-01,Angaya Health Centre III,537.0,False
2023-11-01,Angaya Health Centre III,330.0,False
2023-12-01,Angaya Health Centre III,192.0,False
2024-01-01,Angaya Health Centre III,204.0,False
2024-02-01,Angaya Health Centre III,153.0,True
2023-03-01,Angole Health Centre II,236.0,True
2023-04-01,Angole Health Centre II,332.0,False
2023-05-01,Angole Health Centre II,575.0,True
2023-06-01,Angole Health Centre II,495.0,False
2023-07-01,Angole Health Centre II,451.0,False
2023-08-01,Angole Health Centre II,570.0,False
2023-09-01,Angole Health Centre II,367.0,False
2023-10-01,Angole Health Centre II,472.0,False
2023-11-01,Angole Health Centre II,465.0,False
2023-12-01,Angole Health Centre II,434.0,False
2024-01-01,Angole Health Centre II,403.0,False
2024-02-01,Angole Health Centre II,436.3636363636364,False
2023-03-01,Aparanga Health Centre II,401.0,False
2023-04-01,Aparanga Health Centre II,330.0,False
2023-05-01,Aparanga Health Centre II,387.0,False
2023-06-01,Aparanga Health Centre II,304.0,False
2023-07-01,Aparanga Health Centre II,400.0,False
2023-08-01,Aparanga Health Centre II,69.0,False
2023-09-01,Aparanga Health Centre II,159.0,False
2023-10-01,Aparanga Health Centre II,397.0,False
2023-11-01,Aparanga Health Centre II,537.0,True
2023-12-01,Aparanga Health Centre II,181.0,False
2024-01-01,Aparanga Health Centre II,15.0,True
2024-02-01,Aparanga Health Centre II,289.09090909090907,False
2023-03-01,Apyeta Health Centre II,290.0,False
2023-04-01,Apyeta Health Centre II,274.0,False
2023-05-01,Apyeta Health Centre II,410.0,True
2023-06-01,Apyeta Health Centre II,300.0,False
2023-07-01,Apyeta Health Centre II,403.0,False
2023-08-01,Apyeta Health Centre II,224.0,False
2023-09-01,Apyeta Health Centre II,378.0,False
2023-10-01,Apyeta Health Centre II,97.0,False
2023-11-01,Apyeta Health Centre II,270.0,False
2023-12-01,Apyeta Health Centre II,176.0,False
2024-01-01,Apyeta Health Centre II,94.0,True
2024-02-01,Apyeta Health Centre II,265.09090909090907,False
2023-03-01,Aswa Ranch Health Centre II,438.0,False
2023-04-01,Aswa Ranch Health Centre II,306.0,False
2023-05-01,Aswa Ranch Health Centre II,443.0,False
2023-06-01,Aswa Ranch Health Centre II,458.0,False
2023-07-01,Aswa Ranch Health Centre II,706.0,True
2023-08-01,Aswa Ranch Health Centre II,559.0,False
2023-09-01,Aswa Ranch Health Centre II,368.0,False
2023-10-01,Aswa Ranch Health Centre II,371.0,False
2023-11-01,Aswa Ranch Health Centre II,566.0,False
2023-12-01,Aswa Ranch Health Centre II,277.0,False
2024-01-01,Aswa Ranch Health Centre II,241.0,True
2024-02-01,Aswa Ranch Health Centre II,430.27272727272725,False
2023-03-01,Atanga Health Centre III,665.0,False
2023-04-01,Atanga Health Centre III,644.0,False
2023-05-01,Atanga Health Centre III,708.0,False
2023-06-01,Atanga Health Centre III,707.0,False
2023-07-01,Atanga Health Centre III,856.0,True
2023-08-01,Atanga Health Centre III,764.0,False
2023-09-01,Atanga Health Centre III,423.0,False
2023-10-01,Atanga Health Centre III,514.0,False
2023-11-01,Atanga Health Centre III,727.0,False
2023-12-01,Atanga Health Centre III,380.0,False
2024-01-01,Atanga Health Centre III,281.0,True
2024-02-01,Atanga Health Centre III,606.2727272727273,False
2023-03-01,Atiak Health Centre IV,416.0,False
2023-04-01,Atiak Health Centre IV,131.0,True
2023-05-01,Atiak Health Centre IV,544.0,False
2023-06-01,Atiak Health Centre IV,586.0,False
2023-07-01,Atiak Health Centre IV,650.0,False
2023-08-01,Atiak Health Centre IV,605.0,False
2023-09-01,Atiak Health Centre IV,580.0,False
2023-10-01,Atiak Health Centre IV,589.0,False
2023-11-01,Atiak Health Centre IV,668.0,True
2023-12-01,Atiak Health Centre IV,654.0,False
2024-01-01,Atiak Health Centre IV,661.0,False
2024-02-01,Atiak Health Centre IV,553.0909090909091,False
2023-03-01,Awach Health Centre IV,329.0,True
2023-04-01,Awach Health Centre IV,338.0,False
2023-05-01,Awach Health Centre IV,519.0,False
2023-06-01,Awach Health Centre IV,822.0,False
2023-07-01,Awach Health Centre IV,1066.0,False
2023-08-01,Awach Health Centre IV,811.0,False
2023-09-01,Awach Health Centre IV,693.0,False
2023-10-01,Awach Health Centre IV,877.0,False
2023-11-01,Awach Health Centre IV,1099.0,False
2023-12-01,Awach Health Centre IV,945.0,False
2024-01-01,Awach Health Centre IV,1517.0,True
2024-02-01,Awach Health Centre IV,819.6363636363636,False
2023-03-01,Awer Health Centre II,268.0,False
2023-04-01,Awer Health Centre II,222.0,True
2023-05-01,Awer Health Centre II,296.0,False
2023-06-01,Awer Health Centre II,664.0,False
2023-07-01,Awer Health Centre II,1389.0,True
2023-08-01,Awer Health Centre II,1357.0,False
2023-09-01,Awer Health Centre II,441.0,False
2023-10-01,Awer Health Centre II,473.0,False
2023-11-01,Awer Health Centre II,608.4,False
2023-12-01,Awer Health Centre II,651.0,False
2024-01-01,Awer Health Centre II,323.0,False
2024-02-01,Awer Health Centre II,608.4,False
2023-03-01,Awere Health Centre III,714.0,False
2023-04-01,Awere Health Centre III,771.0,False
2023-05-01,Awere Health Centre III,1125.0,False
2023-06-01,Awere Health Centre III,1453.0,True
2023-07-01,Awere Health Centre III,976.0,False
2023-08-01,Awere Health Centre III,1244.0,False
2023-09-01,Awere Health Centre III,424.0,False
2023-10-01,Awere Health Centre III,468.0,False
2023-11-01,Awere Health Centre III,916.0,False
2023-12-01,Awere Health Centre III,558.0,False
2024-01-01,Awere Health Centre III,314.0,True
2024-02-01,Awere Health Centre III,814.8181818181819,False
2023-03-01,Awich Health Centre III,982.0,False
2023-04-01,Awich Health Centre III,1303.0,False
2023-05-01,Awich Health Centre III,1489.0,False
2023-06-01,Awich Health Centre III,1766.0,True
2023-07-01,Awich Health Centre III,1569.0,False
2023-08-01,Awich Health Centre III,1033.0,False
2023-09-01,Awich Health Centre III,1184.0,False
2023-10-01,Awich Health Centre III,306.0,False
2023-11-01,Awich Health Centre III,296.0,True
2023-12-01,Awich Health Centre III,349.0,False
2024-01-01,Awich Health Centre III,789.0,False
2024-02-01,Awich Health Centre III,1006.0,False
2023-03-01,Awoo Health Centre III,342.0,False
2023-04-01,Awoo Health Centre III,416.0,False
2023-05-01,Awoo Health Centre III,129.0,False
2023-06-01,Awoo Health Centre III,853.0,False
2023-07-01,Awoo Health Centre III,875.0,False
2023-08-01,Awoo Health Centre III,483.0,False
2023-09-01,Awoo Health Centre III,126.0,True
2023-10-01,Awoo Health Centre III,834.0,False
2023-11-01,Awoo Health Centre III,765.0,False
2023-12-01,Awoo Health Centre III,1232.0,True
2024-01-01,Awoo Health Centre III,456.0,False
2024-02-01,Awoo Health Centre III,591.9090909090909,False
2023-03-01,Aywee Health Centre III,163.0,False
2023-04-01,Aywee Health Centre III,153.0,True
2023-05-01,Aywee Health Centre III,560.0,False
2023-06-01,Aywee Health Centre III,496.0,False
2023-07-01,Aywee Health Centre III,581.0,False
2023-08-01,Aywee Health Centre III,518.0,False
2023-09-01,Aywee Health Centre III,597.0,False
2023-10-01,Aywee Health Centre III,620.0,True
2023-11-01,Aywee Health Centre III,601.0,False
2023-12-01,Aywee Health Centre III,548.0,False
2024-01-01,Aywee Health Centre III,316.0,False
2024-02-01,Aywee Health Centre III,238.0,False
2023-03-01,Bardege Health Centre III,135.0,True
2023-04-01,Bardege Health Centre III,156.0,False
2023-05-01,Bardege Health Centre III,370.0,False
2023-06-01,Bardege Health Centre III,452.0,False
2023-07-01,Bardege Health Centre III,453.0,True
2023-08-01,Bardege Health Centre III,323.0,False
2023-09-01,Bardege Health Centre III,443.0,False
2023-10-01,Bardege Health Centre III,422.0,False
2023-11-01,Bardege Health Centre III,436.0,False
2023-12-01,Bardege Health Centre III,435.0,False
2024-01-01,Bardege Health Centre III,327.0,False
2024-02-01,Bardege Health Centre III,359.27272727272725,False
2023-03-01,Bibia Health Centre III,70.0,True
2023-04-01,Bibia Health Centre III,268.0,False
2023-05-01,Bibia Health Centre III,465.0,True
2023-06-01,Bibia Health Centre III,353.0,False
2023-07-01,Bibia Health Centre III,329.0,False
2023-08-01,Bibia Health Centre III,399.0,False
2023-09-01,Bibia Health Centre III,369.0,False
2023-10-01,Bibia Health Centre III,370.0,False
2023-11-01,Bibia Health Centre III,349.0,False
2023-12-01,Bibia Health Centre III,440.0,False
2024-01-01,Bibia Health Centre III,244.0,False
2024-02-01,Bibia Health Centre III,332.3636363636364,False
2023-03-01,Binya Health Centre III,332.0,False
2023-04-01,Binya Health Centre III,286.0,False
2023-05-01,Binya Health Centre III,260.0,False
2023-06-01,Binya Health Centre III,251.0,False
2023-07-01,Binya Health Centre III,468.0,False
2023-08-01,Binya Health Centre III,282.0,False
2023-09-01,Binya Health Centre III,170.0,True
2023-10-01,Binya Health Centre III,488.0,True
2023-11-01,Binya Health Centre III,415.0,False
2023-12-01,Binya Health Centre III,311.0,False
2024-01-01,Binya Health Centre III,408.0,False
2024-02-01,Binya Health Centre III,333.72727272727275,False
2023-03-01,Bira Health Centre II,442.0,False
2023-04-01,Bira Health Centre II,269.0,False
2023-05-01,Bira Health Centre II,383.0,False
2023-06-01,Bira Health Centre II,469.0,False
2023-07-01,Bira Health Centre II,559.0,False
2023-08-01,Bira Health Centre II,370.77777777777777,False
2023-09-01,Bira Health Centre II,370.77777777777777,False
2023-10-01,Bira Health Centre II,617.0,True
2023-11-01,Bira Health Centre II,448.0,False
2023-12-01,Bira Health Centre II,146.0,False
2024-01-01,Bira Health Centre II,4.0,True
2024-02-01,Bira Health Centre II,370.77777777777777,False
2023-03-01,Bmj Medical Clinic,3.0,True
2023-04-01,Bmj Medical Clinic,8.0,False
2023-05-01,Bmj Medical Clinic,21.0,False
2023-06-01,Bmj Medical Clinic,12.0,False
2023-07-01,Bmj Medical Clinic,20.0,False
2023-08-01,Bmj Medical Clinic,23.0,False
2023-09-01,Bmj Medical Clinic,28.0,False
2023-10-01,Bmj Medical Clinic,23.0,False
2023-11-01,Bmj Medical Clinic,20.0,False
2023-12-01,Bmj Medical Clinic,23.0,False
2024-01-01,Bmj Medical Clinic,40.0,True
2024-02-01,Bmj Medical Clinic,20.09090909090909,False
2023-03-01,Bobi Health Centre III,215.0,True
2023-04-01,Bobi Health Centre III,435.0,False
2023-05-01,Bobi Health Centre III,598.0,False
2023-06-01,Bobi Health Centre III,660.0,True
2023-07-01,Bobi Health Centre III,591.0,False
2023-08-01,Bobi Health Centre III,365.0,False
2023-09-01,Bobi Health Centre III,258.0,False
2023-10-01,Bobi Health Centre III,365.0,False
2023-11-01,Bobi Health Centre III,543.0,False
2023-12-01,Bobi Health Centre III,528.0,False
2024-01-01,Bobi Health Centre III,328.0,False
2024-02-01,Bobi Health Centre III,444.1818181818182,False
2023-03-01,Bolo Health Centre II,550.0,False
2023-04-01,Bolo Health Centre II,461.0,False
2023-05-01,Bolo Health Centre II,741.0,False
2023-06-01,Bolo Health Centre II,868.0,True
