periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,105-EP01b. Malaria Total,105-EP01c. Malaria Confirmed (B/s and RDT Positive),105-EP01d. Malaria cases treated,105-MC04. Malaria in pregnancy,105-PS01a. Malaria Microscopy - Done,105-PS01b. Malaria Microscopy - Positive,105-PS02a. Malaria RDTs - Done,105-PS02b. Malaria RDTs - Positive,105-SS11a. Malaria Rapid Diagnostic tests - Quantity consumed,105-SS11b. Malaria Rapid Diagnostic tests - Days out of stock,105-SS11c. Malaria Rapid Diagnostic tests - Stock on hand,105-SS11d. Malaria Rapid Diagnostic tests - Quantity Expired
202303,March 2023,202303,,SFDIr8urO72,Alim Health Centre II,,,323.0,323.0,323.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,572.0,0.0
202303,March 2023,202303,,YLwAhOTWHrQ,Alokolum Health Centre II,,,166.0,166.0,166.0,4.0,,,342.0,166.0,342.0,0.0,2850.0,0.0
202303,March 2023,202303,,pUeR6j03GhJ,Alop Health Centre II,,,207.0,207.0,207.0,7.0,,,418.0,207.0,0.0,31.0,0.0,0.0
202303,March 2023,202303,,DEr5sDrC7T2,Amilobo Health Centre II,,,261.0,261.0,261.0,1.0,,,390.0,261.0,390.0,0.0,5350.0,0.0
202303,March 2023,202303,,UJ0t5BYVpBM,Amuru Health Centre II,,,72.0,72.0,72.0,,,,,,444.0,0.0,300.0,0.0
202303,March 2023,202303,,aFgrVHVDqoZ,Amuru Lacor Health Centre III,,,205.0,205.0,205.0,5.0,401.0,140.0,223.0,46.0,250.0,0.0,75.0,0.0
202303,March 2023,202303,,aqCLIBUuDgw,Amuru Prisons Health Centre II,,,,,,,,,,,0.0,30.0,0.0,0.0
202303,March 2023,202303,,DjuTQL7H5ck,Amyel Health Centre II,,,194.0,194.0,194.0,,,,529.0,194.0,0.0,31.0,0.0,0.0
202303,March 2023,202303,,PgRLMNQdejC,Anaka General Hospital,,,939.0,390.0,390.0,13.0,815.0,382.0,610.0,298.0,1250.0,0.0,3475.0,0.0
202303,March 2023,202303,,bLzMzz5fzGQ,Anaka Health Centre II,,,115.0,115.0,115.0,2.0,,,331.0,115.0,331.0,0.0,1522.0,0.0
202303,March 2023,202303,,ygTUi4HvPHJ,Angagura Health Centre III,,,381.0,381.0,381.0,2.0,28.0,10.0,806.0,373.0,834.0,0.0,12250.0,0.0
202303,March 2023,202303,,P2sdfoxH0a7,Angaya Health Centre III,,,399.0,399.0,399.0,35.0,,,,,625.0,0.0,6900.0,0.0
202303,March 2023,202303,,LFkCyiudO0u,Angole Health Centre II,,,236.0,236.0,236.0,3.0,0.0,0.0,364.0,239.0,243.0,0.0,85000.0,0.0
202303,March 2023,202303,,VomjjgKAFjr,Apaa Health Centre II,,,,,,,,,,,0.0,30.0,0.0,0.0
202303,March 2023,202303,,MT5KksXURUZ,Aparanga Health Centre II,,,401.0,401.0,401.0,9.0,,,740.0,401.0,1125.0,0.0,1825.0,0.0
202303,March 2023,202303,,mG8iTKOSCCi,Apyeta Health Centre II,,,290.0,290.0,289.0,6.0,,,836.0,290.0,836.0,0.0,850.0,0.0
202303,March 2023,202303,,SkWkhr3XlQR,Aswa Ranch Health Centre II,,,438.0,438.0,438.0,11.0,,,,,769.0,0.0,2353.0,53.0
202303,March 2023,202303,,SF33CGHTeUn,Atanga Health Centre III,,,665.0,665.0,665.0,0.0,74.0,39.0,1181.0,595.0,1875.0,0.0,11275.0,0.0
202303,March 2023,202303,,i5CDWEBfo9n,Atiak Health Centre IV,,,416.0,416.0,416.0,,52.0,7.0,635.0,205.0,1650.0,0.0,650.0,0.0
202303,March 2023,202303,,Z1dfGmIoSeF,Awach Health Centre IV,,,340.0,329.0,340.0,12.0,23.0,4.0,1203.0,367.0,2225.0,0.0,8425.0,0.0
202303,March 2023,202303,,XdXAfIaLuld,Awer Health Centre II,,,268.0,268.0,268.0,,,,475.0,268.0,475.0,30.0,1243.0,0.0
202303,March 2023,202303,,arbBXd1KN8n,Awere Health Centre III,,,714.0,714.0,714.0,14.0,40.0,18.0,1392.0,679.0,2125.0,0.0,14950.0,0.0
202303,March 2023,202303,,uhK5lYkfbvk,Awich Health Centre III,,,982.0,982.0,982.0,14.0,26.0,16.0,1755.0,946.0,2300.0,0.0,2700.0,0.0
202303,March 2023,202303,,zardxfXWmkO,Awoo Health Centre III,,,629.0,342.0,342.0,32.0,,,658.0,374.0,648.0,0.0,550.0,0.0
202303,March 2023,202303,,aE0Yzd3YZQ9,Aywee Health Centre III,,,163.0,163.0,163.0,,17.0,1.0,697.0,142.0,697.0,0.0,8675.0,0.0
202303,March 2023,202303,,aKP6B0Z5nbZ,Bardege Health Centre III,,,135.0,135.0,,,1.0,,786.0,135.0,2.0,0.0,50.0,0.0
202303,March 2023,202303,,N00TPmBoIls,Bibia Health Centre III,,,70.0,70.0,70.0,21.0,,,383.0,91.0,400.0,0.0,1860.0,0.0
202303,March 2023,202303,,aGQqkkQQzXc,Binya Health Centre III,,,332.0,332.0,332.0,,,,,,725.0,0.0,975.0,0.0
202303,March 2023,202303,,UDIcZADBS92,Bira Health Centre II,,,442.0,442.0,442.0,,,,,,331.0,0.0,7225.0,0.0
202303,March 2023,202303,,ifmbldJaNrM,Bmj Medical Clinic,,,3.0,3.0,3.0,,,,,,0.0,31.0,0.0,0.0
202303,March 2023,202303,,bah36yY0P6q,Bobi Health Centre III,,,226.0,215.0,215.0,0.0,0.0,0.0,648.0,206.0,725.0,0.0,1250.0,0.0
202303,March 2023,202303,,Mg3L2Y1ndt7,Bolo Health Centre II,,,550.0,550.0,550.0,,0.0,0.0,0.0,0.0,2230.0,0.0,4100.0,0.0
202303,March 2023,202303,,k1Ady0jT3QS,Bregma Health Centre II,,,67.0,67.0,67.0,1.0,141.0,64.0,,,0.0,30.0,0.0,0.0
202303,March 2023,202303,,aY4QRB6dKBj,Capricon Medical Clinic,,,21.0,21.0,21.0,,34.0,21.0,,,0.0,30.0,0.0,0.0
202303,March 2023,202303,,AbgTvK9gyhA,Care Plus Medical Centre,,,94.0,94.0,94.0,0.0,65.0,33.0,39.0,11.0,94.0,0.0,30.0,0.0
202303,March 2023,202303,,Az3dr4kZboc,Charity Medical Centre,,,,,,,,,,,,,,
202303,March 2023,202303,,gNOc58wzKHx,Child Care Community Centre,,,,,,,,,,,,,,
202303,March 2023,202303,,d9upGtVO7uQ,Chobe Safari Lodge Health Centre II,,,16.0,16.0,16.0,,1.0,1.0,28.0,15.0,28.0,0.0,83.0,0.0
202303,March 2023,202303,,yBp7s5Kti5g,Clinic Wiya Agweng,,,,,,,,,,,,,,
202303,March 2023,202303,,aoBupw5zrMP,Comboni Samaritans Health Centre II,,,20.0,20.0,20.0,,30.0,5.0,276.0,20.0,276.0,0.0,1325.0,0.0
202303,March 2023,202303,,pXRws5D6wrR,Community Clinic,,,77.0,77.0,77.0,,190.0,77.0,,,0.0,30.0,0.0,0.0
202303,March 2023,202303,,KBjtlZguP00,Coope Health Centre II,,,144.0,144.0,144.0,,,,241.0,144.0,241.0,0.0,2325.0,0.0
202303,March 2023,202303,,rKGazd2JbUJ,Corom Health Centre II,,,260.0,260.0,260.0,24.0,,,572.0,260.0,875.0,0.0,2250.0,0.0
202303,March 2023,202303,,gzqo9YKPZx1,Cubu Community Health Centre II,,,227.0,227.0,227.0,14.0,,,587.0,227.0,0.0,30.0,0.0,0.0
202303,March 2023,202303,,apGje3lIGEP,Cwero Health Centre III,,,240.0,240.0,240.0,2.0,,,597.0,173.0,725.0,0.0,4925.0,0.0
202303,March 2023,202303,,G51dLKvQTxh,David Fagerlee's Medical Centre,,,24.0,24.0,24.0,3.0,2.0,0.0,131.0,24.0,131.0,0.0,161.0,0.0
202303,March 2023,202303,,XBRMWAS3FO2,Dibolyec Health Centre II,,,255.0,255.0,255.0,3.0,,,601.0,255.0,601.0,0.0,775.0,0.0
202303,March 2023,202303,,yEukLFOEQ1X,Dino Health Centre II,,,164.0,164.0,164.0,,,,,,475.0,0.0,2050.0,0.0
202303,March 2023,202303,,CK05rJs1H25,Diocese Of Kitgum Health Centre II,,,76.0,76.0,76.0,4.0,113.0,60.0,159.0,42.0,200.0,7.0,725.0,0.0
202303,March 2023,202303,,y8q1syPdfdK,Dr. Ambrosoli Memorial Hospital Kalongo,,,77.0,77.0,77.0,30.0,928.0,103.0,494.0,106.0,625.0,0.0,3475.0,0.0
202303,March 2023,202303,,fLGGzlZfyOJ,Dream Health Centre III,,,39.0,39.0,39.0,4.0,120.0,35.0,18.0,4.0,22.0,0.0,60.0,0.0
202303,March 2023,202303,,Du5ZInfaPW0,Dure Health Centre II,,,211.0,211.0,211.0,3.0,0.0,0.0,0.0,0.0,200.0,0.0,5800.0,0.0
202303,March 2023,202303,,IewGdN6LaWm,Emmanuel Clinic (Koro),,,,,,,,,,,,,,
202303,March 2023,202303,,s6nvpDfR2Vg,Exodus Health Centre II,,,119.0,119.0,83.0,,216.0,118.0,1.0,1.0,1.0,0.0,23.0,0.0
202303,March 2023,202303,,aLYCBzAcgPU,Fitzmann Medical and Dental Clinic,,,424.0,57.0,57.0,,371.0,50.0,53.0,7.0,0.0,31.0,0.0,0.0
202303,March 2023,202303,,JzFXi2QJM1b,Flama Health Centre II,,,22.0,22.0,22.0,2.0,3.0,,72.0,21.0,72.0,0.0,75.0,0.0
202303,March 2023,202303,,UUxtPvznkZX,Flama Uganda Clinic,,,,,,,,,,,,,,
202303,March 2023,202303,,DgcoJ3W21vA,Flama Uganda Health Centre II,,,61.0,61.0,61.0,10.0,4.0,,714.0,61.0,714.0,0.0,700.0,0.0
202303,March 2023,202303,,AcJBataZEgg,Florence Medic Drug Supplies Health Centre II,,,,,,,,,,,,,,
202303,March 2023,202303,,FvWwsC1Skpw,Geofrey Clinic,,,,,,,,,,,,,,
202303,March 2023,202303,,WgXtPbUAyJD,Geregere Health Centre II,,,324.0,324.0,324.0,8.0,,,,,850.0,0.0,1125.0,0.0
202303,March 2023,202303,,UpumtCGZcN0,Glanhor Clinic,,,119.0,119.0,119.0,0.0,179.0,119.0,12.0,12.0,25.0,0.0,62.0,0.0
202303,March 2023,202303,,i37kvNZojdz,God's Mercy Health Centre II,,,55.0,55.0,55.0,12.0,56.0,51.0,14.0,4.0,14.0,0.0,23.0,0.0
202303,March 2023,202303,,Rm1RDQip79X,Good Hope Medical Centre (Lamwo) Clinic,,,,,,,,,,,,,,
202303,March 2023,202303,,LIuykl04kI9,Good Hope Medical Centre(Gulu) Clinic,,,,,,,,,,,,,,
202303,March 2023,202303,,TF8Nekqc89W,Goodsheperd Health Centre II,,,80.0,31.0,31.0,,,,,,85.0,0.0,850.0,0.0
202303,March 2023,202303,,fLjNMAg4ymN,Goodwilll Polyclinic,,,,,,,,,,,,,,
202303,March 2023,202303,,C8f6w3L7MNE,Gotapwoyo Health Centre III,,,,,,,,,,,,,,
202303,March 2023,202303,,RefkDqDX6jq,Gracius Clinic and Maternity Home,,,54.0,54.0,54.0,6.0,83.0,83.0,17.0,8.0,20.0,28.0,0.0,0.0
202303,March 2023,202303,,RsY5tCgiuHp,Gulu Independent Hospital,,,7.0,7.0,7.0,1.0,160.0,3.0,113.0,4.0,113.0,0.0,100.0,0.0
202303,March 2023,202303,,ac0AKXEU6Cz,Gulu Lifeline Clinic,,,,,,,,,,,,,,
202303,March 2023,202303,,x1UaYpPwx6c,Gulu Military General Hospital,,,111.0,111.0,111.0,16.0,6.0,1.0,650.0,77.0,1100.0,0.0,4625.0,0.0
202303,March 2023,202303,,afGTmR6EesS,Gulu Police Health Centre III,,,118.0,118.0,118.0,4.0,5.0,0.0,598.0,118.0,650.0,0.0,2900.0,0.0
202303,March 2023,202303,,i7JbInoEb2D,Gulu Prisons Health Centre III,,,,,,,74.0,13.0,420.0,46.0,1650.0,0.0,4500.0,0.0
202303,March 2023,202303,,QDc7Wijvfca,Gulu Regional Referral Hospital,,,94.0,94.0,94.0,,1016.0,88.0,462.0,165.0,1000.0,0.0,10550.0,0.0
202303,March 2023,202303,,GDyo7zIJZ29,Gulu University Health Centre II,,,52.0,52.0,52.0,,,,500.0,52.0,500.0,0.0,2055.0,0.0
202303,March 2023,202303,,pVtYCy55mn4,Gulu Women Prisons Health Centre II,,,1.0,1.0,1.0,,,,6.0,1.0,0.0,31.0,0.0,0.0
202303,March 2023,202303,,qZUu0ylcHTa,Gulu Youth Health Centre II,,,,,,,,,,,,,,
202303,March 2023,202303,,l25J2D2A6R3,Guruguru Health Centre II,,,133.0,133.0,133.0,,,,,,243.0,0.0,1075.0,0.0
202303,March 2023,202303,,resqo4n29Tk,Gweng-Coo Health Centre II,,,247.0,247.0,247.0,8.0,,,457.0,247.0,0.0,30.0,0.0,0.0
202303,March 2023,202303,,F6wXWJHDAlo,Gwengdiya Health Centre II,,,252.0,252.0,252.0,11.0,,,420.0,252.0,420.0,0.0,2000.0,0.0
202303,March 2023,202303,,iRuin8Wmvzp,Healing Hand Medical Centre,,,60.0,60.0,60.0,,,,133.0,60.0,133.0,0.0,60.0,0.0
202303,March 2023,202303,,QScw1OtIUHL,Heritage Clinic,,,,,,,,,,,,,,
202303,March 2023,202303,,S0RHvHct4uS,International Medical Centre,,,44.0,43.0,43.0,2.0,742.0,18.0,58.0,12.0,25.0,9.0,0.0,0.0
202303,March 2023,202303,,OSehC9j4JV1,Irene Gleeson Foundation Health Centre II,,,61.0,61.0,61.0,3.0,117.0,69.0,21.0,8.0,59.0,0.0,32.0,0.0
202303,March 2023,202303,,xutXNJwdyaK,Jafo Medical Centre Clinic,,,53.0,42.0,42.0,8.0,7.0,7.0,56.0,,57.0,0.0,18.0,0.0
202303,March 2023,202303,,am0vQYNJohR,Jengari Health Centre II,,,284.0,284.0,284.0,,,,400.0,284.0,400.0,0.0,500.0,0.0
202303,March 2023,202303,,CHsbmLO3U5C,Jildo Irwa Health Centre II,,,,,,,,,,,,,,
202303,March 2023,202303,,mErpRZrtmz8,Kabala Health Centre II,,,192.0,192.0,192.0,3.0,,,,,480.0,0.0,1950.0,0.0
202303,March 2023,202303,,cStwSlODOpK,Kal Alii Health Centre II,,,175.0,175.0,175.0,6.0,0.0,0.0,266.0,175.0,226.0,0.0,3300.0,0.0
202303,March 2023,202303,,jWmjHpZqNtY,Kaladima Health Centre III,,,551.0,551.0,551.0,,0.0,0.0,1305.0,551.0,0.0,30.0,0.0,0.0
202303,March 2023,202303,,u7JAnlZqo5D,Kaladima Prisons Clinic,,,26.0,26.0,,,0.0,0.0,71.0,26.0,71.0,0.0,54.0,0.0
202303,March 2023,202303,,p0bIifvmV47,Kapeta Health Centre II,,,146.0,146.0,146.0,7.0,,,348.0,127.0,0.0,30.0,0.0,0.0
202303,March 2023,202303,,huR6kAEICw4,Karin Medical Health Centre III,,,66.0,66.0,66.0,5.0,160.0,72.0,64.0,7.0,100.0,0.0,1475.0,0.0
202303,March 2023,202303,,a4WmbJQWIME,Katum Health Centre III,,,202.0,202.0,202.0,,,,679.0,202.0,679.0,0.0,1850.0,0.0
202303,March 2023,202303,,AJxamlmKn2x,Keyo Health Centre II,,,160.0,160.0,160.0,,,,160.0,160.0,200.0,0.0,215.0,0.0
202303,March 2023,202303,,UZYxp87I4oX,Keyo Medical Health Centre II,,,9.0,9.0,6.0,1.0,2.0,1.0,14.0,5.0,14.0,0.0,33.0,0.0
202303,March 2023,202303,,VP7U4YcD16g,Kibar Health Centre III,,,173.0,173.0,173.0,,,,,,200.0,0.0,375.0,0.0
202303,March 2023,202303,,e2i5c23d8cq,Kilak Health Centre III,,,298.0,298.0,298.0,3.0,62.0,10.0,605.0,307.0,605.0,0.0,18975.0,0.0
202303,March 2023,202303,,P2QYI0kDGW3,Kineni Prision Health Centre II,,,,,,,,,,,,,,
202303,March 2023,202303,,z2LfysbyF9U,Kitgum General Hospital,,,260.0,260.0,260.0,4.0,1317.0,540.0,94.0,46.0,1317.0,0.0,12325.0,0.0
202303,March 2023,202303,,f7pQNP83wd9,Kitgum Maternity and Medical Centre,,,,,,,,,,,,,,
202303,March 2023,202303,,v3S6pvqS63U,Kitgum Police Health Centre II,,,136.0,136.0,136.0,,,,319.0,163.0,319.0,0.0,3000.0,0.0
202303,March 2023,202303,,MvWfNbmsyfy,Kitgum Prisons Health Centre II,,,30.0,30.0,30.0,,,,127.0,30.0,335.0,0.0,3050.0,0.0
202303,March 2023,202303,,JEOnniXpbdj,Kitgum Youth Centre Clinic,,,32.0,32.0,32.0,,,,61.0,32.0,32.0,10.0,0.0,0.0
202303,March 2023,202303,,aKgreJPVnve,Kitgum-Matidi Health Centre III,,,258.0,258.0,258.0,10.0,9.0,1.0,758.0,257.0,975.0,0.0,10725.0,0.0
202303,March 2023,202303,,NdIteLoT2FC,Koch Goma Health Centre III,,,363.0,363.0,363.0,55.0,,,931.0,363.0,1000.0,0.0,2250.0,0.0
202303,March 2023,202303,,uG6WV4UKNaB,Koch Lii Health Centre III,,,276.0,276.0,276.0,26.0,8.0,6.0,654.0,216.0,1250.0,0.0,370.0,0.0
202303,March 2023,202303,,ASNnd0et215,Kokil Health Centre II,,,185.0,185.0,185.0,,,,405.0,185.0,0.0,31.0,0.0,0.0
202303,March 2023,202303,,jnS54maqjwy,Kony-Kwo Clinic,,,,,,,,,,,,,,
202303,March 2023,202303,,oYdsJ8kS1JS,Koro Abili Health Centre II,,,119.0,119.0,119.0,5.0,,,144.0,119.0,625.0,0.0,1775.0,0.0
202303,March 2023,202303,,xErihzThO6h,Kotomor Health Centre III,,,271.0,271.0,271.0,19.0,4.0,1.0,588.0,271.0,0.0,31.0,0.0,0.0
202303,March 2023,202303,,TTIgbcijnJz,Kuywee Health Centre II,,,234.0,229.0,229.0,,,,521.0,229.0,775.0,0.0,5475.0,0.0
202303,March 2023,202303,,fIGI5AZsJHF,Kwonkic Health Centre II,,,256.0,256.0,256.0,3.0,,,304.0,256.0,775.0,0.0,2625.0,0.0
202303,March 2023,202303,,Tvayfd3cIU2,Labongogali Health Centre III,,,82.0,82.0,82.0,,,,517.0,169.0,85.0,0.0,98.0,0.0
202303,March 2023,202303,,tR6T1FslkZe,Labora Clinic,,,75.0,54.0,54.0,3.0,,,,,46.0,0.0,90.0,0.0
202303,March 2023,202303,,ltWFhjfI6qF,Labworomor Health Centre III,,,323.0,323.0,604.0,6.0,1.0,0.0,838.0,323.0,0.0,31.0,0.0,0.0
202303,March 2023,202303,,uGfXrLtYv7J,Lacor Opit Health Centre III,,,209.0,209.0,209.0,,685.0,322.0,0.0,0.0,150.0,0.0,125.0,0.0
202303,March 2023,202303,,FNTxj1oKTQd,Lacor-Pabbo Health Centre III,,,147.0,147.0,,5.0,273.0,200.0,337.0,73.0,0.0,30.0,0.0,0.0
202303,March 2023,202303,,go1XRnoCBUU,Lagile Health Centre II,,,199.0,199.0,199.0,,0.0,0.0,303.0,199.0,1025.0,0.0,6725.0,0.0
202303,March 2023,202303,,GYYFVZOZ3gz,Lagot Health Centre II,,,296.0,296.0,296.0,5.0,,,480.0,296.0,450.0,0.0,0.0,0.0
202303,March 2023,202303,,ynatvEoBz7A,Laguti Health Centre III,,,384.0,384.0,384.0,10.0,9.0,5.0,628.0,378.0,628.0,0.0,7500.0,0.0
202303,March 2023,202303,,fOcpxbnY878,Lakony Medcal Centre,,,27.0,27.0,27.0,,2.0,1.0,58.0,27.0,58.0,0.0,50.0,0.0
202303,March 2023,202303,,qKVewTpVtG6,Lakwatomer Health Centre III,,,265.0,265.0,265.0,,,,697.0,265.0,1025.0,0.0,2450.0,0.0
202303,March 2023,202303,,qDsAKcIKGZy,Lakwor Health Centre II,,,150.0,150.0,150.0,6.0,,,244.0,150.0,244.0,0.0,5775.0,0.0
202303,March 2023,202303,,Kz91AKphExv,Lalekan Health Centre II,,,174.0,174.0,174.0,1.0,,,256.0,178.0,256.0,31.0,0.0,525.0
202303,March 2023,202303,,Dxbu2QPZahI,Lalogi Health Centre IV,,,552.0,552.0,552.0,,124.0,32.0,1546.0,481.0,3400.0,31.0,3538.0,0.0
202303,March 2023,202303,,gEJIdy608EI,Lamiyo Health Centre III,,,611.0,611.0,611.0,0.0,,,800.0,611.0,0.0,31.0,0.0,0.0
202303,March 2023,202303,,EsNOJ2SO3pj,Lamwo Prisons Health Centre II,,,24.0,24.0,24.0,,,,,,44.0,0.0,169.0,0.0
202303,March 2023,202303,,ede2KlZ1gtL,Lanenober Health Centre III,,,412.0,412.0,412.0,47.0,,,,,0.0,0.0,37000.0,0.0
202303,March 2023,202303,,w4z6Vt9nkBs,Langol Health Centre II,,,389.0,389.0,389.0,2.0,,,1043.0,468.0,2025.0,0.0,3650.0,0.0
202303,March 2023,202303,,o919aB1NWyq,Lanyirinyiri Health Centre II,,,254.0,254.0,254.0,3.0,,,,,1325.0,0.0,2500.0,0.0
202303,March 2023,202303,,EsXcenXz99W,Lapainat Health Centre III,,,342.0,342.0,339.0,20.0,18.0,10.0,1014.0,342.0,2275.0,0.0,1075.0,0.0
202303,March 2023,202303,,FvZUwmuSrzB,Lapeta Health Centre II,,,193.0,193.0,193.0,3.0,,,351.0,193.0,1500.0,0.0,1200.0,0.0
202303,March 2023,202303,,FHLViw9IqR6,Lapirin Health Centre III,,,496.0,496.0,496.0,21.0,,,837.0,425.0,1025.0,0.0,2150.0,0.0
202303,March 2023,202303,,UUt3ZtL1hIJ,Lapul Health Centre III,,,346.0,346.0,346.0,2.0,9.0,2.0,621.0,344.0,631.0,0.0,20650.0,0.0
202303,March 2023,202303,,lgz0xxaxfhr,Lapulocwida Health Centre III,,,429.0,411.0,411.0,11.0,0.0,0.0,1008.0,830.0,1008.0,0.0,11225.0,0.0
202303,March 2023,202303,,elqHQKpMveQ,Laroo Health Centre III,,,165.0,165.0,,,86.0,27.0,862.0,154.0,0.0,9.0,7150.0,0.0
202303,March 2023,202303,,kBBhLlLFodJ,Latanya Health Centre II,,,172.0,172.0,172.0,13.0,4.0,0.0,420.0,90.0,250.0,0.0,3200.0,0.0
202303,March 2023,202303,,Z0euhskPX5T,Latigi Health Centre II,,,193.0,193.0,193.0,9.0,0.0,0.0,410.0,193.0,625.0,0.0,3275.0,0.0
202303,March 2023,202303,,u3JBwviodwN,Latoro Health Centre II,,,503.0,503.0,503.0,10.0,,,688.0,501.0,1700.0,0.0,0.0,0.0
202303,March 2023,202303,,CADR9HaNyWH,Lawire Health Centre II,,,281.0,281.0,281.0,,0.0,0.0,486.0,281.0,550.0,0.0,3400.0,0.0
202303,March 2023,202303,,hhz818sQTkO,Lawiyeadul Health Centre II,,,141.0,141.0,141.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,5475.0,0.0
202303,March 2023,202303,,n8DIemz1Xoh,Layibi Techo Health Centre III,,,167.0,167.0,167.0,1.0,0.0,0.0,714.0,158.0,714.0,0.0,7750.0,0.0
202303,March 2023,202303,,gvwYnobdOdM,Layita Health Centre III,,,101.0,101.0,101.0,,,,546.0,81.0,546.0,0.0,3475.0,0.0
202303,March 2023,202303,,tbLOoJ5HpgT,Lela-Obaro Health Centre II,,,149.0,149.0,136.0,9.0,,,491.0,149.0,700.0,0.0,2050.0,0.0
202303,March 2023,202303,,JIhuoOFwtAr,Light Rays Uganda Health Centre II,,,78.0,78.0,78.0,8.0,43.0,7.0,292.0,71.0,292.0,0.0,723.0,0.0
202303,March 2023,202303,,h0zUXZyCyJL,Ligiligi Health Centre II,,,337.0,337.0,337.0,,,,,,0.0,31.0,0.0,0.0
202303,March 2023,202303,,pBrduMkhHQy,Lira Kaket Health Centre II,,,141.0,141.0,141.0,,,,344.0,141.0,0.0,31.0,0.0,0.0
202303,March 2023,202303,,a9ZI6jNBqXx,Lira Kato Health Centre III,,,212.0,212.0,212.0,13.0,25.0,14.0,1148.0,198.0,1550.0,0.0,2075.0,0.0
202303,March 2023,202303,,aNM5X9P50rl,Lira Palwo Health Centre III,,,196.0,196.0,196.0,5.0,8.0,4.0,744.0,192.0,744.0,0.0,2000.0,0.0
202303,March 2023,202303,,WgmL7qQcVxV,Loborom Health Centre III,,,439.0,439.0,439.0,12.0,32.0,14.0,1084.0,439.0,0.0,30.0,0.0,0.0
202303,March 2023,202303,,MV2QkTgUIz1,Lokung Health Centre III,,,503.0,503.0,503.0,15.0,8.0,,1421.0,362.0,3133.0,0.0,5675.0,0.0
202303,March 2023,202303,,CU6IfK8lFaQ,Lorado Medical Clinic,,,,,,,,,,,,,,
